Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998 ,10 ,167.5 ,2.5 ,2.0 ,0.1900 ,43.8050 ,8.2300 ,52.2250 ,0.1534 ,2.5885 ,29.1083 
1998 ,4 ,157.5 ,-2.5 ,2.0 ,1.0800 ,43.7950 ,46.3650 ,91.2400 ,0.0733 ,-0.3818 ,29.2333 
1998 ,9 ,179.5 ,2.5 ,3.0 ,0.3900 ,43.7680 ,9.2460 ,53.4040 ,0.1344 ,-6.2229 ,28.3417 
1998 ,8 ,175.5 ,4.5 ,3.0 ,0.0040 ,43.6640 ,0.1740 ,43.8420 ,0.1342 ,0.0000 ,28.6740 
1998 ,10 ,171.5 ,2.5 ,1.0 ,0.0400 ,43.6600 ,1.6100 ,45.3000 ,0.1982 ,-4.5697 ,27.7917 
1998 ,2 ,168.5 ,-5.5 ,3.5 ,1.0400 ,43.4750 ,3.3100 ,47.8250 ,0.1056 ,-7.6537 ,28.1121 
1998 ,5 ,156.5 ,-4.5 ,4.0 ,0.9700 ,43.3500 ,4.2200 ,48.5400 ,0.0507 ,-3.3372 ,29.6000 
1998 ,4 ,165.5 ,-6.5 ,2.0 ,0.8150 ,43.2750 ,6.0950 ,50.1850 ,0.1003 ,-7.8098 ,29.3550 
1998 ,11 ,153.5 ,2.5 ,3.0 ,0.0300 ,42.8000 ,1.2600 ,44.0920 ,0.0960 ,-0.6571 ,29.0875 
1998 ,2 ,162.5 ,-6.5 ,2.0 ,0.1450 ,42.6600 ,6.2650 ,49.0700 ,0.0867 ,-8.8433 ,28.3190 
1998 ,10 ,168.5 ,3.5 ,1.0 ,0.2000 ,42.6100 ,8.3800 ,51.1900 ,0.1554 ,1.0439 ,28.9050 
1998 ,4 ,153.5 ,-8.5 ,1.5 ,0.1050 ,42.1800 ,4.4500 ,46.7400 ,0.1066 ,-0.5082 ,29.5157 
1998 ,10 ,157.5 ,1.5 ,2.0 ,1.1000 ,42.1000 ,4.7650 ,47.9650 ,0.1213 ,-4.2381 ,29.2300 
1998 ,10 ,156.5 ,2.5 ,3.3 ,0.0200 ,42.0175 ,0.8150 ,42.8500 ,0.1142 ,-1.8360 ,29.5042 
1998 ,4 ,161.5 ,-3.5 ,2.7 ,0.3267 ,41.9400 ,5.3667 ,47.6300 ,0.0798 ,-4.4068 ,29.1458 
1998 ,5 ,157.5 ,-1.5 ,3.3 ,0.0100 ,41.7667 ,0.3767 ,42.1500 ,0.0870 ,1.6091 ,29.5250 
1998 ,4 ,162.5 ,-3.5 ,2.7 ,0.7933 ,41.6667 ,8.0867 ,50.5467 ,0.0746 ,-2.5585 ,29.1950 
1998 ,5 ,162.5 ,-4.5 ,2.0 ,0.6600 ,41.4350 ,3.0400 ,45.1300 ,0.0673 ,3.8440 ,29.2620 
1998 ,12 ,165.5 ,-2.5 ,2.5 ,0.3550 ,41.2100 ,2.9650 ,44.5250 ,0.0771 ,2.0891 ,29.5550 
1998 ,10 ,157.5 ,3.5 ,3.3 ,0.0050 ,41.0125 ,0.1650 ,41.1825 ,0.1149 ,1.5634 ,29.6000 
1998 ,4 ,162.5 ,-6.5 ,2.7 ,0.2833 ,40.6967 ,7.3167 ,48.3000 ,0.1203 ,-24.3896 ,29.1800 
1998 ,4 ,169.5 ,-5.5 ,3.0 ,0.2000 ,40.3900 ,0.8900 ,41.4800 ,0.0820 ,-1.7444 ,29.1208 
1998 ,10 ,166.5 ,0.5 ,1.0 ,0.5300 ,40.3100 ,22.6300 ,63.4600 ,0.2736 ,-6.0245 ,27.8000 
1998 ,10 ,154.5 ,4.5 ,3.3 ,0.2375 ,40.1800 ,1.0675 ,41.4850 ,0.0702 ,2.8860 ,30.1400 
1998 ,11 ,165.5 ,3.5 ,2.7 ,0.2300 ,40.1600 ,9.9267 ,50.3167 ,0.1595 ,0.0228 ,28.4150 
1998 ,11 ,163.5 ,1.5 ,2.5 ,0.4550 ,40.0000 ,19.5450 ,60.0000 ,0.1485 ,-2.9021 ,28.9450 
1998 ,6 ,158.5 ,-7.5 ,3.0 ,0.4400 ,39.3700 ,1.9200 ,41.7300 ,0.2152 ,-14.1867 ,28.9826 
1998 ,12 ,162.5 ,-0.5 ,1.0 ,0.3400 ,39.0100 ,14.5500 ,53.9000 ,0.1066 ,-1.1321 ,29.0300 
