Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998,1,161.5,-5.5,3.25,5.905,11.55,28.8525,46.3075,0.090425,10.97647059,29.49166667
1998,5,168.5,-6.5,2,0.055,11.575,2.26,13.89,0.13796364,-14.94761905,28.82
1998,7,161.5,-5.5,3,0.21666667,11.58666667,0.94333333,12.74666667,0.11056,6.97777778,28.64166667
1998,10,164.5,0.5,2,0.015,11.59,0.54,12.145,0.2235375,10.15806452,28.1
1998,3,139.5,2.5,3,0,11.61666667,0,11.61666667,0.12171875,-3.71153846,28.68
1998,2,164.5,-4.5,1,0.38,11.69,16.5,28.57,0.0860125,5.77352941,28.1
1998,10,168.5,4.5,1,0.22,11.78,9.42,21.41,0.13174444,5.94736842,28.896
1998,1,149.5,-0.5,4,1.77,11.805,7.885,21.465,0.095325,-8.47848101,29.025
1998,3,146.5,3.5,3,0,11.83,0,11.83,0.11130625,-1.98369565,28.365
1998,3,148.5,4.5,3,0,11.83,0,11.83,0.11253333,1.30555556,28.14
1998,9,163.5,1.5,1,0,11.9,0,11.9,0.17055,-5.43298969,28.93
1998,4,141.5,-0.5,3,0,12,0,12,0.17165,-4.24299065,28.74166667
1998,6,165.5,-7.5,3,0.56,12.01,2.44,15.02,0.12678889,-18.45531915,28.915
1998,6,167.5,-8.5,3,0,12.01,0,12.01,0.17023125,-12.85735294,28.86666667
1998,2,156.5,-3.5,2.75,0.5725,12.11,2.9925,15.675,0.079125,-4.12711864,28.30434783
1998,2,157.5,-5.5,3,0,12.2,0,12.2,0.12457,-5.66741573,28.97571429
1998,9,176.5,2.5,1,0.43,12.21,18.56,31.21,0.1452125,-2.79848485,28.41666667
1998,10,161.5,3.5,2,0.075,12.25,0.335,12.665,0.11070625,0.15217391,29.63333333
1998,10,161.5,4.5,2.66666667,0,12.32666667,0,12.32666667,0.08505833,3.21805556,29.575
1998,7,155.5,4.5,3,0,12.45,0,12.45,0.08739167,-0.33518519,29.55
1998,6,178.5,1.5,1,0.46,12.5,19.54,32.5,0.26653333,-0.64782609,28.566
1998,4,165.5,-7.5,3,0.11,12.5,0.47,13.08,0.13154444,-13.43125,29.275
1998,9,162.5,6.5,3,0,12.5,0,12.5,0.06275833,5.15625,29.475
1998,12,158.5,-6.5,2,0,12.5,0,12.5,0.2006375,2.21136364,29.66571429
1998,11,152.5,1.5,3,0,12.59,0,12.59,0.08249167,3.80208333,29.562
1998,1,158.5,-1.5,3,0.12333333,12.63666667,3.89,16.65,0.09915,-3.33655914,29.245
1998,7,145.5,5.5,4,0,12.66,0,12.66,0.0539125,2.61333333,29.75833333
1998,7,146.5,5.5,4,0,12.66,0,12.66,0.05435625,2.5106383,29.855
1998,7,177.5,3.5,2,0.385,12.71,16.565,29.66,0.17796667,-4.15116279,28.875
1998,2,152.5,-5.5,1,0,12.71,0,12.71,0.07405714,8.55454545,29.15217391
1998,7,176.5,2.5,1,0.45,12.75,19.21,32.41,0.18160625,2.22222222,28.75833333
1998,3,163.5,-3.5,5,0,12.82,0,12.82,0.05859333,2.55512821,29.02285714
1998,9,172.5,5.5,1,0,12.82,0,12.82,0.1153875,8.072,29.1
1998,10,166.5,3.5,2,0,12.82,0,12.82,0.1221,0.04018692,29.475
1998,1,158.5,-3.5,3,0.64,12.86,2.79,16.3,0.09305,-3.63692308,28.96666667
1998,4,156.5,-4.5,2.5,0.1325,12.8625,5.635,18.6275,0.06526667,-0.72413793,29.41
1998,7,162.5,-7.5,4,0.03,12.88,0.125,13.035,0.17666667,-19.80280374,28.05
1998,1,155.5,-0.5,3.5,1.945,12.885,7.505,22.335,0.1207875,-2.95394737,28.16785714
1998,1,159.5,-0.5,2.5,0.155,12.89,6.55,19.59,0.09361667,-5.114,28.77
1998,10,157.5,4.5,2.5,0,12.95,0,12.95,0.06478333,6.04761905,29.91
1998,2,163.5,-3.5,2,0.18,12.99,3.07,16.235,0.07569091,-4.93766234,28.3
1998,4,168.5,-9.5,1,0.59,13.04,25.49,39.13,0.094325,-0.54782609,28.63
1998,2,169.5,-7.5,1,0,13.04,0,13.04,0.07914167,-11.66216216,28.89428571
1998,7,156.5,3.5,2,0,13.07,0,13.07,0.09526667,-6.69108911,29.475
1998,10,155.5,4.5,4.5,0,13.155,0,13.155,0.075925,6.445,30
1998,10,159.5,3.5,4,0,13.16,0,13.16,0.10665,1.76419753,29.46
1998,3,156.5,-9.5,3,0.59,13.18333333,11.27,25.03666667,0.07563333,-6.73529412,29.45833333
1998,10,163.5,4.5,1,0,13.25,0,13.25,0.10118333,5.25764706,29.48
